PE Product No.;Product No.;Description;Category
PE12062032-RB;1206-2032-RB;U2 Femoral Head Trial, Ø 32 mm, -3 mm;U2 Hip Basic
PE12062132-RB;1206-2132-RB;U2 Femoral Head Trial, Ø 32 mm, +0 mm;U2 Hip Basic
PE12062432-RB;1206-2432-RB;U2 Femoral Head Trial, Ø 32 mm, +5 mm;U2 Hip Basic
PE12062832-RB;1206-2832-RB;U2 Femoral Head Trial, Ø 32 mm, +10 mm;U2 Hip Basic
PE12062036-RB;1206-2036-RB;U2 Femoral Head Trial, Ø 36 mm, -3 mm;U2 Hip Basic
PE12062136-RB;1206-2136-RB;U2 Femoral Head Trial, Ø 36 mm, +0 mm;U2 Hip Basic
PE12062436-RB;1206-2436-RB;U2 Femoral Head Trial, Ø 36 mm, +5 mm;U2 Hip Basic
PE12062836-RB;1206-2836-RB;U2 Femoral Head Trial, Ø 36 mm, +10 mm;U2 Hip Basic
PE12036028-RB;1203-6028-RB;Ceramic Femoral Head Trial, Ø 28 mm, S, -2.5 mm;U2 Hip Basic
PE12036228-RB;1203-6228-RB;Ceramic Femoral Head Trial, Ø 28 mm, M, +1 mm;U2 Hip Basic
PE12036428-RB;1203-6428-RB;Ceramic Femoral Head Trial, Ø 28 mm, L, +5 mm;U2 Hip Basic
PE12036032-RB;1203-6032-RB;Ceramic Femoral Head Trial, Ø 32 mm, S, -3 mm;U2 Hip Basic
PE12036232-RB;1203-6232-RB;Ceramic Femoral Head Trial, Ø 32 mm, M, +1 mm;U2 Hip Basic
PE12036432-RB;1203-6432-RB;Ceramic Femoral Head Trial, Ø 32 mm, L, +5 mm;U2 Hip Basic
PE12036632-RB;1203-6632-RB;Ceramic Femoral Head Trial, Ø 32 mm, XL, +8 mm;U2 Hip Basic
PE12036036-RB;1203-6036-RB;Ceramic Femoral Head Trial, Ø 36 mm, S, -3 mm;U2 Hip Basic
PE12036236-RB;1203-6236-RB;Ceramic Femoral Head Trial, Ø 36 mm, M, +1 mm;U2 Hip Basic
PE12036436-RB;1203-6436-RB;Ceramic Femoral Head Trial, Ø 36 mm, L, +5 mm;U2 Hip Basic
PE12036636-RB;1203-6636-RB;Ceramic Femoral Head Trial, Ø 36 mm, XL, +9 mm;U2 Hip Basic
PE92061110;9206-1110;Universal handle, short;U2 Hip Basic
PE92041222-RB;9204-1222-RB;Femoral head impactor;U2 Hip Basic
PE91011301;9101-1301;Femoral cutting chisel;U2 Hip Basic
PE91063072;9106-3072;Starter reamer;U2 Hip Basic
PE91049001-RA;9104-9001-RA;Femoral head remover;U2 Hip Basic
PE91044040;9104-4040;Calcar reamer, φ40mm;U2 Hip Basic
PE91046103-RA;9104-6103-RA;Broach handle;U2 Hip Basic
PE91163001-RB;9116-3001-RB;Femoral head extractor;U2 Hip Basic
PE94017012;9401-7012;Caliper;U2 Hip Basic
PE91161102;9116-1102;Modular T-handle;U2 Hip Basic
PE91041106;9104-1106;Full PE cement restrictor inserter;U2 Hip Basic
PE91041213-RA;9104-1213-RA;Stem impactor, long;U2 Hip Basic
PE91041202-RA;9104-1202-RA;Stem extractor;U2 Hip Basic
PE91041214;9104-1214;U2 Stem, quick connect holder;U2 Hip Basic
PE91065101;9106-5101;Sliding rod;U2 Hip Basic
PE91065001;9106-5001;Hammer;U2 Hip Basic
PE91048040-RA;9104-8040-RA;U2 Revision hip stem case;U2 Rev. Stem
PE91046330;9104-6330;Revision hip stem broach, Ø11mm;U2 Rev. Stem
PE91046340;9104-6340;Revision hip stem broach, Ø12mm;U2 Rev. Stem
PE91046350;9104-6350;Revision hip stem broach, Ø13mm;U2 Rev. Stem
PE91046360;9104-6360;Revision hip stem broach, Ø14mm;U2 Rev. Stem
PE91045301-RB;9104-5301-RB;Neck trial, Ø11, Ø12mm;U2 Rev. Stem
PE91045302-RB;9104-5302-RB;Neck trial, Ø13, Ø14, Ø15mm;U2 Rev. Stem
PE91043109;9104-3109;Revision hip stem straight reamer, Ø9.0;U2 Rev. Stem
PE91043209;9104-3209;Revision hip stem straight reamer, Ø9.5;U2 Rev. Stem
PE91043110;9104-3110;Revision hip stem straight reamer, Ø10.0;U2 Rev. Stem
PE91043210;9104-3210;Revision hip stem straight reamer, Ø10.5;U2 Rev. Stem
PE91043111;9104-3111;Revision hip stem straight reamer, Ø11.0;U2 Rev. Stem
PE91043211;9104-3211;Revision hip stem straight reamer, Ø11.5;U2 Rev. Stem
PE91043112;9104-3112;Revision hip stem straight reamer, Ø12.0;U2 Rev. Stem
PE91043212;9104-3212;Revision hip stem straight reamer, Ø12.5;U2 Rev. Stem
PE91043113;9104-3113;Revision hip stem straight reamer, Ø13.0;U2 Rev. Stem
PE91043213;9104-3213;Revision hip stem straight reamer, Ø13.5;U2 Rev. Stem
PE91046370;9104-6370;Revision hip stem broach, Ø15mm;U2 Rev. Stem
PE91046380;9104-6380;Revision hip stem broach, Ø16.5mm;U2 Rev. Stem
PE91046390;9104-6390;Revision hip stem broach, Ø18mm;U2 Rev. Stem
PE91045303-RB;9104-5303-RB;Neck trial, Ø16.5, Ø18mm;U2 Rev. Stem
PE91043114;9104-3114;Revision hip stem straight reamer, Ø14.0;U2 Rev. Stem
PE91043214;9104-3214;Revision hip stem straight reamer, Ø14.5;U2 Rev. Stem
PE91043115;9104-3115;Revision hip stem straight reamer, Ø15.0;U2 Rev. Stem
PE91043215;9104-3215;Revision hip stem straight reamer, Ø15.5;U2 Rev. Stem
PE91043116;9104-3116;Revision hip stem straight reamer, Ø16.0;U2 Rev. Stem
PE91043216;9104-3216;Revision hip stem straight reamer, Ø16.5;U2 Rev. Stem
PE91043117;9104-3117;Revision hip stem straight reamer, Ø17.0;U2 Rev. Stem
PE91043217;9104-3217;Revision hip stem straight reamer, Ø17.5;U2 Rev. Stem
PE91043118;9104-3118;Revision hip stem straight reamer, Ø18.0;U2 Rev. Stem
PE91048050-RA;9104-8050-RA;U2 Revision hip trial case;U2 Rev. Stem
PE11042211-RB;1104-2211-RB;Revision hip stem trial, straight, Ø11×180mm;U2 Rev. Stem
PE11042212-RB;1104-2212-RB;Revision hip stem trial, straight, Ø12×180mm;U2 Rev. Stem
PE11042213-RB;1104-2213-RB;Revision hip stem trial, straight, Ø13×180mm;U2 Rev. Stem
PE11042214-RB;1104-2214-RB;Revision hip stem trial, straight, Ø14×180mm;U2 Rev. Stem
PE11042215-RB;1104-2215-RB;Revision hip stem trial, straight, Ø15×180mm;U2 Rev. Stem
PE11042216-RB;1104-2216-RB;Revision hip stem trial, straight, Ø16.5×180mm;U2 Rev. Stem
PE11042218-RB;1104-2218-RB;Revision hip stem trial, straight, Ø18×180mm;U2 Rev. Stem
PE12038028-RA;1203-8028-RA;BIOLOX OPTION Head trial, Ø28mm, S, -2mm;U2 Rev. Stem
PE12038228-RA;1203-8228-RA;BIOLOX OPTION Head trial, Ø28mm, M, +1mm;U2 Rev. Stem
PE12038428-RA;1203-8428-RA;BIOLOX OPTION Head trial, Ø28mm, L, +5mm;U2 Rev. Stem
PE12038628-RA;1203-8628-RA;BIOLOX OPTION Head trial, Ø28mm, XL, +8mm;U2 Rev. Stem
PE12038032-RA;1203-8032-RA;BIOLOX OPTION Head trial, Ø32mm, S, -2mm;U2 Rev. Stem
PE12038232-RA;1203-8232-RA;BIOLOX OPTION Head trial, Ø32mm, M, +1mm;U2 Rev. Stem
PE12038432-RA;1203-8432-RA;BIOLOX OPTION Head trial, Ø32mm, L, +5mm;U2 Rev. Stem
PE12038632-RA;1203-8632-RA;BIOLOX OPTION Head trial, Ø32mm, XL, +8mm;U2 Rev. Stem
PE12038036-RA;1203-8036-RA;BIOLOX OPTION Head trial, Ø36mm, S, -2mm;U2 Rev. Stem
PE12038236-RA;1203-8236-RA;BIOLOX OPTION Head trial, Ø36mm, M, +1mm;U2 Rev. Stem
PE12038436-RA;1203-8436-RA;BIOLOX OPTION Head trial, Ø36mm, L, +5mm;U2 Rev. Stem
PE12038636-RA;1203-8636-RA;BIOLOX OPTION Head trial, Ø36mm, XL, +8mm;U2 Rev. Stem
PE12038040-RA;1203-8040-RA;BIOLOX OPTION Head trial, Ø40mm, S, -2mm;U2 Rev. Stem
PE12038240-RA;1203-8240-RA;BIOLOX OPTION Head trial, Ø40mm, M, +1mm;U2 Rev. Stem
PE12038440-RA;1203-8440-RA;BIOLOX OPTION Head trial, Ø40mm, L, +5mm;U2 Rev. Stem
PE12038640-RA;1203-8640-RA;BIOLOX OPTION Head trial, Ø40mm, XL, +8mm;U2 Rev. Stem
PE11042311-RB;1104-2311-RB;Revision hip stem trial, curved, left, Ø11×230mm;U2 Rev. Stem
PE11042312-RB;1104-2312-RB;Revision hip stem trial, curved, left, Ø12×230mm;U2 Rev. Stem
PE11042313-RB;1104-2313-RB;Revision hip stem trial, curved, left, Ø13×230mm;U2 Rev. Stem
PE11042314-RB;1104-2314-RB;Revision hip stem trial, curved, left, Ø14×230mm;U2 Rev. Stem
PE11042315-RB;1104-2315-RB;Revision hip stem trial, curved, left, Ø15×230mm;U2 Rev. Stem
PE11042316-RB;1104-2316-RB;Revision hip stem trial, curved, left, Ø16.5×230mm;U2 Rev. Stem
PE11042318-RB;1104-2318-RB;Revision hip stem trial, curved, left, Ø18×230mm;U2 Rev. Stem
PE11042411-RB;1104-2411-RB;Revision hip stem trial, curved, right, Ø11×230mm;U2 Rev. Stem
PE11042412-RB;1104-2412-RB;Revision hip stem trial, curved, right, Ø12×230mm;U2 Rev. Stem
PE11042413-RB;1104-2413-RB;Revision hip stem trial, curved, right, Ø13×230mm;U2 Rev. Stem
PE11042414-RB;1104-2414-RB;Revision hip stem trial, curved, right, Ø14×230mm;U2 Rev. Stem
PE11042415-RB;1104-2415-RB;Revision hip stem trial, curved, right, Ø15×230mm;U2 Rev. Stem
PE11042416-RB;1104-2416-RB;Revision hip stem trial, curved, right, Ø16.5×230mm;U2 Rev. Stem
PE11042418-RB;1104-2418-RB;Revision hip stem trial, curved, right, Ø18×230mm;U2 Rev. Stem
PE91048060;9104-8060;Flexible reamer set case;U2 Rev. Stem
PE91043509;9104-3509;Flexible reamer head, Ø9mm;U2 Rev. Stem
PE91043510;9104-3510;Flexible reamer head, Ø10mm;U2 Rev. Stem
PE91043511;9104-3511;Flexible reamer head, Ø11mm;U2 Rev. Stem
PE91043512;9104-3512;Flexible reamer head, Ø12mm;U2 Rev. Stem
PE91043513;9104-3513;Flexible reamer head, Ø13mm;U2 Rev. Stem
PE91043514;9104-3514;Flexible reamer head, Ø14mm;U2 Rev. Stem
PE91043515;9104-3515;Flexible reamer head, Ø15mm;U2 Rev. Stem
PE91043516;9104-3516;Flexible reamer head, Ø16mm;U2 Rev. Stem
PE91043517;9104-3517;Flexible reamer head, Ø17mm;U2 Rev. Stem
PE91043518;9104-3518;Flexible reamer head, Ø18mm;U2 Rev. Stem
PE91043519;9104-3519;Flexible reamer head, Ø19mm;U2 Rev. Stem
PE91043520;9104-3520;Flexible reamer head, Ø20mm;U2 Rev. Stem
PE91043609;9104-3609;Flexible reamer head, Ø9.5mm;U2 Rev. Stem
PE91043610;9104-3610;Flexible reamer head, Ø10.5mm;U2 Rev. Stem
PE91043611;9104-3611;Flexible reamer head, Ø11.5mm;U2 Rev. Stem
PE91043612;9104-3612;Flexible reamer head, Ø12.5mm;U2 Rev. Stem
PE91043613;9104-3613;Flexible reamer head, Ø13.5mm;U2 Rev. Stem
PE91043614;9104-3614;Flexible reamer head, Ø14.5mm;U2 Rev. Stem
PE91043615;9104-3615;Flexible reamer head, Ø15.5mm;U2 Rev. Stem
PE91043616;9104-3616;Flexible reamer head, Ø16.5mm;U2 Rev. Stem
PE91043617;9104-3617;Flexible reamer head, Ø17.5mm;U2 Rev. Stem
PE91043618;9104-3618;Flexible reamer head, Ø18.5mm;U2 Rev. Stem
PE91043619;9104-3619;Flexible reamer head, Ø19.5mm;U2 Rev. Stem
PE91045320;9104-3520;Flexible reamer head, Ø20mm;U2 Rev. Stem
PE91041001;9104-1001;Flexible reamer shaft, Ø5mm×470mm;U2 Rev. Stem
PE91042001;9104-2001;Guide wire, Ø3mm×820mm;U2 Rev. Stem
PE92048042;9204-8042;Revision femoral head case;Rev. Head
PE12042028;1204-2028;Revision femoral head trial, 10/12, Ø28mm, -3mm;Rev. Head
PE12042128;1204-2128;Revision femoral head trial, 10/12, Ø28mm, +0mm;Rev. Head
PE12042428;1204-2428;Revision femoral head trial, 10/12, Ø28mm, +5mm;Rev. Head
PE12042828;1204-2828;Revision femoral head trial, 10/12, Ø28mm, +10mm;Rev. Head
PE12042032;1204-2032;Revision femoral head trial, 10/12, Ø32mm, -3mm;Rev. Head
PE12042132;1204-2132;Revision femoral head trial, 10/12, Ø32mm, +0mm;Rev. Head
PE12042432;1204-2432;Revision femoral head trial, 10/12, Ø32mm, +5mm;Rev. Head
PE12042832;1204-2832;Revision femoral head trial, 10/12, Ø32mm, +10mm;Rev. Head
PE12042036;1204-2036;Revision femoral head trial, 10/12, Ø36mm, -3mm;Rev. Head
PE12042136;1204-2136;Revision femoral head trial, 10/12, Ø36mm, +0mm;Rev. Head
PE12042436;1204-2436;Revision femoral head trial, 10/12, Ø36mm, +5mm;Rev. Head
PE12042836;1204-2836;Revision femoral head trial, 10/12, Ø36mm, +10mm;Rev. Head
PE12044028;1204-4028;Revision femoral head trial, 11/13, Ø28mm, -3mm;Rev. Head
PE12044128;1204-4128;Revision femoral head trial, 11/13, Ø28mm, +0mm;Rev. Head
PE12044428;1204-4428;Revision femoral head trial, 11/13, Ø28mm, +5mm;Rev. Head
PE12044828;1204-4828;Revision femoral head trial, 11/13, Ø28mm, +10mm;Rev. Head
PE12044032;1204-4032;Revision femoral head trial, 11/13, Ø32mm, -3mm;Rev. Head
PE12044132;1204-4132;Revision femoral head trial, 11/13, Ø32mm, +0mm;Rev. Head
PE12044432;1204-4432;Revision femoral head trial, 11/13, Ø32mm, +5mm;Rev. Head
PE12044832;1204-4832;Revision femoral head trial, 11/13, Ø32mm, +10mm;Rev. Head
PE12044036;1204-4036;Revision femoral head trial, 11/13, Ø36mm, -3mm;Rev. Head
PE12044136;1204-4136;Revision femoral head trial, 11/13, Ø36mm, +0mm;Rev. Head
PE12044436;1204-4436;Revision femoral head trial, 11/13, Ø36mm, +5mm;Rev. Head
PE12044836;1204-4836;Revision femoral head trial, 11/13, Ø36mm, +10mm;Rev. Head
PE12046028;1204-6028;Revision femoral head trial, 12/14, Ø28mm, -3mm;Rev. Head
PE12046128;1204-6128;Revision femoral head trial, 12/14, Ø28mm, +0mm;Rev. Head
PE12046428;1204-6428;Revision femoral head trial, 12/14, Ø28mm, +5mm;Rev. Head
PE12046828;1204-6828;Revision femoral head trial, 12/14, Ø28mm, +10mm;Rev. Head
PE12046032;1204-6032;Revision femoral head trial, 12/14, Ø32mm, -3mm;Rev. Head
PE12046132;1204-6132;Revision femoral head trial, 12/14, Ø32mm, +0mm;Rev. Head
PE12046432;1204-6432;Revision femoral head trial, 12/14, Ø32mm, +5mm;Rev. Head
PE12046832;1204-6832;Revision femoral head trial, 12/14, Ø32mm, +10mm;Rev. Head
PE12046036;1204-6036;Revision femoral head trial, 12/14, Ø36mm, -3mm;Rev. Head
PE12046136;1204-6136;Revision femoral head trial, 12/14, Ø36mm, +0mm;Rev. Head
PE12046436;1204-6436;Revision femoral head trial, 12/14, Ø36mm, +5mm;Rev. Head
PE12046836;1204-6836;Revision femoral head trial, 12/14, Ø36mm, +10mm;Rev. Head
PE12048028;1204-8028;Revision femoral head trial, 14/16, Ø28mm, -3mm;Rev. Head
PE12048128;1204-8128;Revision femoral head trial, 14/16, Ø28mm, +0mm;Rev. Head
PE12048428;1204-8428;Revision femoral head trial, 14/16, Ø28mm, +5mm;Rev. Head
PE12048828;1204-8828;Revision femoral head trial, 14/16, Ø28mm, +10mm;Rev. Head
PE12048032;1204-8032;Revision femoral head trial, 14/16, Ø32mm, -3mm;Rev. Head
PE12048132;1204-8132;Revision femoral head trial, 14/16, Ø32mm, +0mm;Rev. Head
PE12048432;1204-8432;Revision femoral head trial, 14/16, Ø32mm, +5mm;Rev. Head
PE12048832;1204-8832;Revision femoral head trial, 14/16, Ø32mm, +10mm;Rev. Head
PE12048036;1204-8036;Revision femoral head trial, 14/16, Ø36mm, -3mm;Rev. Head
PE12048136;1204-8136;Revision femoral head trial, 14/16, Ø36mm, +0mm;Rev. Head
PE12048436;1204-8436;Revision femoral head trial, 14/16, Ø36mm, +5mm;Rev. Head
PE12048836;1204-8836;Revision femoral head trial, 14/16, Ø36mm, +10mm;Rev. Head
PE91049001-RA;9104-9001-RA;Femoral head remover;Rev. Head
PE92015102-RA;9201-5102-RA;Cap liner & head trial remover;Rev. Head
PE92068010;9206-8010;U-Motion II Case #1;U-Motion II
PE92034042;9203-4042;Cup reamer, 42mm;U-Motion II
PE92034043;9203-4043;Cup reamer, 43mm;U-Motion II
PE92034044;9203-4044;Cup reamer, 44mm;U-Motion II
PE92034045;9203-4045;Cup reamer, 45mm;U-Motion II
PE92034046;9203-4046;Cup reamer, 46mm;U-Motion II
PE92034047;9203-4047;Cup reamer, 47mm;U-Motion II
PE92034048;9203-4048;Cup reamer, 48mm;U-Motion II
PE92034049;9203-4049;Cup reamer, 49mm;U-Motion II
PE92034050;9203-4050;Cup reamer, 50mm;U-Motion II
PE92034051;9203-4051;Cup reamer, 51mm;U-Motion II
